epoch,iso,run,state,temp,alt,imu_roll,imu_pitch,gps,fir,nir,motor
1753722374.152416,2025-07-28T18:06:14.152443,True,0,0.0,NA,NA,NA,NA,NA,NA,-1
1753722702.1482835,2025-07-28T18:11:42.148326,True,0,0.0,NA,NA,NA,NA,NA,NA,NA,-1
1753722703.1542175,2025-07-28T18:11:43.154224,True,0,0.0,NA,NA,NA,NA,NA,24.84,NA,2500
1753722704.1557598,2025-07-28T18:11:44.155767,True,0,0.0,NA,NA,NA,NA,NA,24.84,NA,2500
1753722727.2216053,2025-07-28T18:12:07.221632,True,0,0.0,NA,NA,NA,NA,NA,NA,NA,-1
1753722728.2236097,2025-07-28T18:12:08.223617,True,0,0.0,NA,NA,NA,NA,NA,24.84,NA,2500
1753722729.2247858,2025-07-28T18:12:09.224793,True,0,0.0,NA,NA,NA,NA,NA,24.83,NA,2500
1753722730.2259595,2025-07-28T18:12:10.225966,True,0,0.0,NA,NA,NA,NA,NA,24.83,NA,2500
1753722731.2270207,2025-07-28T18:12:11.227028,True,0,0.0,NA,NA,NA,NA,NA,24.84,NA,2500
1753722732.228255,2025-07-28T18:12:12.228264,True,0,0.0,NA,NA,NA,NA,NA,24.84,NA,2500
1753722733.229745,2025-07-28T18:12:13.229752,True,0,0.0,NA,NA,NA,NA,NA,24.84,NA,2500
1753722734.230756,2025-07-28T18:12:14.230763,True,0,0.0,NA,NA,NA,NA,NA,24.84,NA,2500
1753722735.2317271,2025-07-28T18:12:15.231735,True,0,0.0,NA,NA,NA,NA,NA,24.83,NA,2500
1753722736.2327363,2025-07-28T18:12:16.232744,True,0,0.0,NA,NA,NA,NA,NA,24.84,NA,2500
1753722737.2337303,2025-07-28T18:12:17.233738,True,0,0.0,NA,NA,NA,NA,NA,24.83,NA,2500
1753722738.2348843,2025-07-28T18:12:18.234893,True,0,0.0,NA,NA,NA,NA,NA,24.84,NA,2500
1753722739.2361755,2025-07-28T18:12:19.236184,True,0,0.0,NA,NA,NA,NA,NA,24.83,NA,2500
1753722740.2380242,2025-07-28T18:12:20.238031,True,0,0.0,NA,NA,NA,NA,NA,24.83,NA,2500
1753722741.239295,2025-07-28T18:12:21.239302,True,0,0.0,NA,NA,NA,NA,NA,24.84,NA,2500
1753722742.240333,2025-07-28T18:12:22.240341,True,0,0.0,NA,NA,NA,NA,NA,24.82,NA,2500
1753722743.2423186,2025-07-28T18:12:23.242328,True,0,0.0,NA,NA,NA,NA,NA,24.84,NA,2500
1753722744.2437801,2025-07-28T18:12:24.243788,True,0,0.0,NA,NA,NA,NA,NA,24.82,NA,2500
1753722856.776677,2025-07-28T18:14:16.776697,True,0,0.0,NA,NA,NA,NA,NA,NA,NA,-1
1753722857.7781632,2025-07-28T18:14:17.778170,True,0,0.0,NA,NA,NA,NA,NA,24.87,NA,2500
1753722858.7796595,2025-07-28T18:14:18.779666,True,0,0.0,NA,NA,NA,NA,NA,24.88,NA,2500
1753722859.7804003,2025-07-28T18:14:19.780407,True,0,0.0,NA,NA,NA,NA,NA,24.87,NA,2500
1753722860.7814865,2025-07-28T18:14:20.781494,True,0,0.0,NA,NA,NA,NA,NA,24.87,NA,2500
1753724260.1030085,2025-07-28T18:37:40.103038,True,0,0.0,NA,NA,NA,NA,NA,NA,NA,-1
1753724261.1487172,2025-07-28T18:37:41.149274,True,0,0.0,NA,NA,NA,NA,NA,NA,NA,-1
1753724262.1518362,2025-07-28T18:37:42.151844,True,0,0.0,NA,NA,NA,NA,NA,NA,NA,2500
1753724263.1528418,2025-07-28T18:37:43.152849,True,0,0.0,NA,NA,NA,NA,NA,NA,NA,2500
1753724264.1538906,2025-07-28T18:37:44.153898,True,0,0.0,NA,NA,NA,NA,NA,NA,NA,2500
1753724265.1549857,2025-07-28T18:37:45.154995,True,0,0.0,NA,NA,NA,NA,NA,25.18,NA,2500
1753724266.1561115,2025-07-28T18:37:46.156119,True,0,0.0,NA,NA,NA,NA,NA,25.19,NA,2500
1753724267.1571977,2025-07-28T18:37:47.157206,True,0,0.0,NA,NA,NA,NA,NA,25.19,NA,2500
1753724268.1581717,2025-07-28T18:37:48.158179,True,0,0.0,NA,NA,NA,NA,NA,25.19,NA,2500
1753724269.1595259,2025-07-28T18:37:49.159542,True,0,0.0,NA,NA,NA,NA,NA,25.2,NA,2500
1753724270.1607118,2025-07-28T18:37:50.160721,True,0,0.0,NA,NA,NA,NA,NA,25.2,NA,2500
1753724273.0636656,2025-07-28T18:37:53.063674,True,0,0.0,NA,NA,NA,NA,NA,25.2,NA,2500
1753724274.0646038,2025-07-28T18:37:54.064611,True,0,0.0,NA,NA,NA,NA,NA,25.19,NA,2500
1753724275.0655606,2025-07-28T18:37:55.065568,True,0,0.0,NA,NA,NA,NA,NA,25.19,NA,2500
1753724276.06666,2025-07-28T18:37:56.066670,True,0,0.0,NA,NA,NA,NA,NA,25.18,NA,2500
1753724277.067929,2025-07-28T18:37:57.067937,True,0,0.0,NA,NA,NA,NA,NA,25.18,NA,2500
1753724278.0693405,2025-07-28T18:37:58.069348,True,0,0.0,NA,NA,NA,NA,NA,25.18,NA,2500
